Bedrooms,Bathrooms,Floor_area,Price_in_taka,City
3,4,1960,39000000,0
3,3,1705,16900000,0
3,3,1370,12500000,0
3,3,2125,20000000,0
3,3,2687,47500000,0
3,3,1150,8800000,0
3,3,2119,19000000,0
4,4,2318,23000000,0
3,3,1397,8000000,0
3,3,2400,20000000,0
3,3,1300,8000000,0
3,3,1300,8000000,0
3,3,1300,8000000,0
3,3,1900,21000000,0
3,3,1500,11000000,0
3,3,1450,9500000,0
2,2,750,6200000,0
3,3,2343,22000000,0
3,3,1185,11000000,0
3,3,1610,13100000,0
4,4,2180,17500000,0
4,4,3650,78000000,0
4,4,5000,110000000,0
3,3,2700,55000000,0
3,2,1175,8300000,0
2,2,650,3100000,0
3,4,1331,16000000,0
2,2,900,4500000,0
3,3,1350,14200000,0
3,3,1200,7500000,0
3,3,2045,23625000,0
3,3,1500,25000000,0
3,3,1410,13800000,0
2,2,650,4000000,0
3,3,1100,4700000,0
3,2,1220,5000000,0
3,3,1240,7320000,0
3,3,1700,6500000,0
3,3,1400,8500000,0
3,3,1050,4700000,0
3,3,1240,8700000,0
3,3,1504,7100000,0
2,2,750,4000000,0
2,2,750,3500000,0
3,3,1980,18000000,0
3,5,1585,14000000,0
3,3,1485,13200000,0
3,3,1545,14000000,0
3,3,1050,8200000,0
2,2,900,4100000,0
3,3,1340,6200000,0
3,3,1400,11500000,0
3,3,1275,8000000,0
3,3,1245,15500000,0
2,2,1050,4800000,0
2,2,850,5500000,0
3,4,1440,7300000,0
2,3,948,7000000,0
4,4,2644,35000000,0
2,2,800,6950000,0
4,4,2000,22000000,0
3,3,1593,21500000,0
3,2,1220,5000000,0
2,2,1040,6500000,0
3,3,1620,16500000,0
3,3,1550,14500000,0
2,2,1000,5500000,0
4,4,1840,46000000,0
2,2,740,4000000,0
3,3,1250,7800000,0
3,3,1430,12000000,0
3,3,1690,14800000,0
3,3,1330,7900000,0
3,3,1230,7400000,0
3,3,1700,17000000,0
3,3,1300,8000000,0
3,2,1175,6300000,0
3,3,1265,8500000,0
3,2,1000,5700000,0
3,3,1554,11500000,0
3,3,1570,5600000,0
3,2,1050,4500000,0
2,2,815,4200000,0
4,5,2553,38000000,0
3,3,1590,11200000,0
4,4,2000,21500000,0
2,2,800,8600000,0
3,4,1960,39000000,0
3,3,1705,16900000,0
3,3,1370,12500000,0
3,3,2125,20000000,0
3,3,2687,47500000,0
3,3,1150,8800000,0
3,3,2119,19000000,0
4,4,2318,23000000,0
3,3,1397,8000000,0
3,3,2400,20000000,0
3,3,1300,8000000,0
3,3,1300,8000000,0
3,3,1300,8000000,0
3,3,1900,21000000,0
3,3,1500,11000000,0
3,3,1450,9500000,0
2,2,750,6200000,0
